temperature,humidity,time
69.80,42.00,2017-06-25 00:50:29
69.80,42.00,2017-06-25 00:50:36
69.80,42.00,2017-06-25 00:50:38
69.80,42.00,2017-06-25 00:50:40
69.80,42.00,2017-06-25 00:50:42
69.80,42.00,2017-06-25 00:50:44
69.80,42.00,2017-06-25 00:50:51
69.80,42.00,2017-06-25 00:50:53
69.80,42.00,2017-06-25 00:50:55
69.80,42.00,2017-06-25 00:50:57
69.80,42.00,2017-06-25 00:50:59
69.80,42.00,2017-06-25 00:51:06
69.80,42.00,2017-06-25 00:52:07
69.80,42.00,2017-06-25 00:53:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
68.00,43.00,2017-06-25 00:55:00
69.80,41.00,2017-06-25 00:55:00
68.00,43.00,2017-06-25 00:55:00
68.00,43.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
69.80,43.00,2017-06-25 00:55:00
69.80,42.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
69.80,43.00,2017-06-25 00:55:01
69.80,43.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
